TyreId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2017174411.00,340.00,20101112.00,1011120961.00,0.00,1.00,1.00,1.00,0.00,104.00,42.00,46.00,-25.00,42.00,59.00,275.00
2017174411.00,340.00,20101112.00,1011120961.00,9.00,1.00,1.00,1.00,1.00,99.00,22.00,47.00,-27.00,40.00,30.00,304.00
2017177087.00,340.00,20101112.00,1011120756.00,9.00,1.00,1.00,1.00,1.00,72.00,18.00,32.00,-21.00,51.00,47.00,319.00
2017177094.00,340.00,20101112.00,1011120754.00,9.00,1.00,1.00,1.00,1.00,97.00,73.00,36.00,-29.00,53.00,56.00,257.00
2017177131.00,340.00,20101112.00,1011120759.00,9.00,1.00,1.00,1.00,1.00,95.00,48.00,38.00,-27.00,65.00,81.00,432.00
2017177147.00,340.00,20101112.00,1011120752.00,9.00,1.00,1.00,1.00,1.00,96.00,60.00,28.00,-27.00,56.00,53.00,383.00
2017177157.00,340.00,20101112.00,1011120755.00,9.00,1.00,1.00,1.00,1.00,76.00,35.00,38.00,-30.00,46.00,37.00,126.00
2017177183.00,340.00,20101112.00,1011120758.00,0.00,1.00,1.00,0.00,0.00,133.00,91.00,44.00,-22.00,48.00,51.00,-1.00
2017177183.00,340.00,20101112.00,1011120758.00,0.00,1.00,1.00,0.00,0.00,150.00,84.00,42.00,-57.00,43.00,47.00,-1.00
2017177183.00,340.00,20101112.00,1011120808.00,9.00,1.00,1.00,1.00,1.00,73.00,26.00,31.00,-19.00,35.00,47.00,189.00
2017174337.00,353.00,20101108.00,1011081186.00,0.00,1.00,1.00,0.00,0.00,147.00,80.00,33.00,-42.00,48.00,57.00,-1.00
2017174337.00,353.00,20101108.00,1011081186.00,9.00,1.00,1.00,1.00,1.00,99.00,35.00,32.00,-10.00,38.00,26.00,545.00
2016835301.00,340.00,20101117.00,1011170808.00,9.00,1.00,1.00,1.00,1.00,110.00,81.00,29.00,-56.00,48.00,73.00,325.00
2016835307.00,340.00,20101117.00,1011170807.00,9.00,1.00,1.00,1.00,1.00,63.00,26.00,74.00,-23.00,55.00,65.00,160.00
2016835349.00,340.00,20101117.00,1011170806.00,9.00,1.00,1.00,1.00,1.00,69.00,42.00,27.00,-66.00,64.00,53.00,344.00
2017177355.00,340.00,20101117.00,1011170809.00,0.00,1.00,1.00,0.00,0.00,108.00,90.00,22.00,-43.00,52.00,91.00,-1.00
2017177355.00,340.00,20101117.00,1011170809.00,0.00,1.00,1.00,0.00,0.00,139.00,114.00,36.00,-61.00,59.00,88.00,-1.00
2016835280.00,353.00,20101117.00,1011170799.00,9.00,1.00,1.00,1.00,1.00,77.00,52.00,68.00,-30.00,27.00,50.00,653.00
2016835297.00,353.00,20101117.00,1011170788.00,0.00,1.00,1.00,0.00,0.00,137.00,112.00,55.00,-37.00,53.00,89.00,-1.00
2016835297.00,353.00,20101117.00,1011170788.00,9.00,1.00,1.00,1.00,1.00,77.00,61.00,43.00,-47.00,34.00,76.00,296.00
2016835302.00,353.00,20101117.00,1011170795.00,9.00,1.00,1.00,1.00,1.00,90.00,43.00,54.00,-55.00,54.00,45.00,130.00
2016835311.00,353.00,20101117.00,1011170797.00,9.00,1.00,1.00,1.00,1.00,89.00,75.00,40.00,-68.00,49.00,88.00,97.00
2016835348.00,353.00,20101117.00,1011170791.00,9.00,1.00,1.00,1.00,1.00,83.00,49.00,46.00,-27.00,36.00,73.00,223.00
2016835363.00,353.00,20101117.00,1011170800.00,9.00,1.00,1.00,1.00,1.00,84.00,55.00,52.00,-56.00,45.00,82.00,469.00
2016860884.00,353.00,20101117.00,1011170786.00,0.00,1.00,1.00,0.00,0.00,117.00,113.00,38.00,-34.00,52.00,36.00,-1.00
2016860884.00,353.00,20101117.00,1011170786.00,9.00,1.00,1.00,1.00,1.00,97.00,73.00,54.00,-23.00,44.00,50.00,482.00
2017177307.00,353.00,20101117.00,1011170792.00,9.00,1.00,1.00,1.00,1.00,58.00,17.00,50.00,-54.00,47.00,39.00,72.00
2017177330.00,353.00,20101117.00,1011170801.00,9.00,1.00,1.00,1.00,1.00,74.00,37.00,79.00,-69.00,48.00,56.00,208.00
2017177340.00,353.00,20101117.00,1011170789.00,9.00,1.00,1.00,1.00,1.00,82.00,59.00,34.00,-41.00,25.00,78.00,115.00
2017177347.00,353.00,20101117.00,1011170798.00,9.00,1.00,1.00,1.00,1.00,57.00,29.00,38.00,-73.00,50.00,77.00,222.00
2017177358.00,353.00,20101117.00,1011170794.00,0.00,1.00,1.00,0.00,0.00,118.00,97.00,65.00,-58.00,65.00,78.00,-1.00
2017177358.00,353.00,20101117.00,1011170794.00,9.00,1.00,1.00,1.00,1.00,77.00,58.00,60.00,-56.00,63.00,64.00,295.00
2017277249.00,340.00,20101126.00,1011261176.00,9.00,1.00,1.00,1.00,1.00,101.00,59.00,56.00,-7.00,27.00,59.00,257.00
2017277249.00,340.00,20101126.00,1011251880.00,0.00,1.00,1.00,0.00,0.00,121.00,83.00,30.00,-98.00,28.00,41.00,-1.00
2017277249.00,340.00,20101126.00,1011251880.00,0.00,1.00,1.00,0.00,0.00,113.00,57.00,30.00,-142.00,23.00,53.00,-1.00
2016835184.00,340.00,20101123.00,1011231715.00,9.00,1.00,1.00,1.00,1.00,91.00,58.00,42.00,-17.00,54.00,39.00,411.00
2016835187.00,340.00,20101123.00,1011231716.00,9.00,1.00,1.00,1.00,1.00,91.00,68.00,35.00,-14.00,50.00,34.00,172.00
2016835193.00,340.00,20101123.00,1011231717.00,9.00,1.00,1.00,1.00,1.00,105.00,50.00,28.00,-19.00,34.00,41.00,465.00
2016835320.00,340.00,20101123.00,1011231718.00,9.00,1.00,1.00,1.00,1.00,65.00,30.00,43.00,-5.00,46.00,34.00,505.00
2017176942.00,340.00,20101123.00,1011231719.00,9.00,1.00,1.00,1.00,1.00,92.00,54.00,42.00,-3.00,69.00,43.00,326.00
2016835177.00,340.00,20101123.00,1011231720.00,9.00,1.00,1.00,1.00,1.00,95.00,48.00,43.00,-23.00,54.00,51.00,386.00
2016835178.00,340.00,20101123.00,1011231721.00,9.00,1.00,1.00,1.00,1.00,93.00,70.00,41.00,-2.00,35.00,35.00,110.00
2017168839.00,340.00,20101123.00,1011231722.00,9.00,1.00,1.00,1.00,1.00,92.00,75.00,42.00,-18.00,45.00,43.00,337.00
2017177355.00,340.00,20101124.00,1011170809.00,0.00,1.00,1.00,0.00,0.00,122.00,99.00,24.00,-50.00,58.00,101.00,-1.00
